,GOLD Analysis Project ID
354,Ga0482198
355,Ga0257123
356,Ga0214255
357,Ga0207662
358,Ga0169616
359,Ga0075313
360,Ga0070725
361,Ga0114371
362,Ga0233367
363,Ga0245036
364,Ga0428165
365,Ga0135170
366,Ga0233386
367,Ga0316210
368,Ga0210046
369,Ga0211473
370,Ga0500000
371,Ga0467080
372,Ga0120887
373,Ga0497535
374,Ga0102731
375,Ga0307996
376,Ga0428488
377,Ga0454681
378,Ga0120156
379,Ga0494479
380,Ga0209636
381,Ga0104150
382,Ga0455989
383,Ga0209729
384,Ga0101649
385,Ga0235676
386,Ga0456022
387,Ga0026245
388,Ga0075307
389,Ga0121402
390,Ga0256835
391,Ga0245821
392,Ga0456365
393,Ga0308395
394,Ga0467082
395,Ga0105569
396,Ga0209615
397,Ga0055496
398,Ga0496125
399,Ga0209611
400,Ga0005021
401,Ga0310759
402,Ga0497519
403,Ga0169857
404,Ga0494153
405,Ga0498836
406,Ga0453090
407,Ga0455918
408,Ga0224700
409,Ga0137377
410,Ga0394846
411,Ga0495444
412,Ga0181456
413,Ga0135174
414,Ga0026147
415,Ga0334831
416,Ga0451745
417,Ga0209994
418,Ga0026201
419,Ga0055498
420,Ga0104042
421,Ga0484752
422,Ga0501138
423,Ga0121165
424,Ga0111023
425,Ga0455873
426,Ga0137477
427,Ga0268318
428,Ga0208612
429,Ga0168738
430,Ga0499941
431,Ga0007228
432,Ga0102873
433,Ga0026335
434,Ga0121539
435,Ga0255363
436,Ga0118056
437,Ga0395729
438,Ga0373649
439,Ga0526457
440,Ga0007676
441,Ga0206127
442,Ga0122791
443,Ga0207706
444,Ga0118124
445,Ga0496890
446,Ga0497042
447,Ga0373963
448,Ga0120973
449,Ga0335317
450,Ga0208082
451,Ga0121366
452,Ga0122208
453,Ga0233373
454,Ga0235619
455,Ga0118376
456,Ga0394797
457,Ga0169464
458,Ga0187887
459,Ga0116817
460,Ga0506527
461,Ga0466999
462,Ga0194008
463,Ga0496978
464,Ga0054507
465,Ga0228646
466,Ga0007140
467,Ga0000793
468,Ga0427926
469,Ga0000796
470,Ga0500141
471,Ga0427998
472,Ga0395740
473,Ga0504709
474,Ga0026176
475,Ga0026124
476,Ga0211526
477,Ga0137319
478,Ga0451474
479,Ga0268331
480,Ga0208072
481,Ga0134346
482,Ga0302140
483,Ga0005033
484,Ga0119983
485,Ga0066660
486,Ga0483993
487,Ga0247044
488,Ga0302297
489,Ga0074263
490,Ga0118379
491,Ga0255775
492,Ga0499980
493,Ga0224562
494,Ga0255766
495,Ga0394850
496,Ga0528810
497,Ga0494789
498,Ga0207763
499,Ga0224714
500,Ga0209585
501,Ga0453966
502,Ga0026221
503,Ga0494128
504,Ga0394079
505,Ga0496933
506,Ga0209221
507,Ga0118143
508,Ga0243727
509,Ga0004145
510,Ga0247043
511,Ga0208545
512,Ga0010784
513,Ga0006044
514,Ga0373566
515,Ga0118629
516,Ga0120893
517,Ga0302165
518,Ga0002407
519,Ga0370501
520,Ga0482226
521,Ga0208304
522,Ga0116690
523,Ga0209850
524,Ga0190346
525,Ga0187872
526,Ga0209425
527,Ga0494725
528,Ga0497107
529,Ga0455866
530,Ga0118378
531,Ga0310073
532,Ga0453664
533,Ga0183664
534,Ga0187785
535,Ga0118115
536,Ga0208000
537,Ga0245179
538,Ga0209631
539,Ga0121159
540,Ga0494736
541,Ga0272436
542,Ga0209427
543,Ga0316206
544,Ga0497073
545,Ga0494466
546,Ga0308389
547,Ga0239515
548,Ga0214238
549,Ga0244892
550,Ga0121351
551,Ga0454677
552,Ga0427944
553,Ga0209684
554,Ga0316603
555,Ga0118173
556,Ga0373914
557,Ga0334735
558,Ga0451577
559,Ga0242733
560,Ga0120154
561,Ga0497023
562,Ga0134575
563,Ga0485455
564,Ga0102898
565,Ga0209169
566,Ga0169803
567,Ga0119820
568,Ga0247696
569,Ga0065723
570,Ga0006609
571,Ga0122767
572,Ga0111539
573,Ga0001683
574,Ga0455952
575,Ga0256804
576,Ga0208389
577,Ga0207930
578,Ga0209877
579,Ga0116838
580,Ga0002588
581,Ga0376463
582,Ga0247102
583,Ga0120087
584,Ga0456107
585,Ga0453948
586,Ga0114002
587,Ga0302175
588,Ga0467045
589,Ga0026190
590,Ga0456082
591,Ga0453143
592,Ga0207563
593,Ga0497302
594,Ga0495646
595,Ga0244216
596,Ga0500120
597,Ga0498774
598,Ga0506524
599,Ga0105049
600,Ga0066682
601,Ga0335262
602,Ga0506508
603,Ga0111563
604,Ga0245159
605,Ga0102543
606,Ga0494471
607,Ga0075111
608,Ga0436616
609,Ga0373901
610,Ga0450708
611,Ga0120222
612,Ga0427941
613,Ga0318559
614,Ga0482179
615,Ga0314771
616,Ga0485437
617,Ga0243978
618,Ga0115001
619,Ga0439233
620,Ga0011628
621,Ga0100063
622,Ga0439463
623,Ga0160468
624,Ga0495452
625,Ga0224531
626,Ga0207705
627,Ga0467035
628,Ga0105349
629,Ga0224520
630,Ga0117991
631,Ga0136567
632,Ga0376051
633,Ga0334863
634,Ga0373610
635,Ga0453066
636,Ga0485408
637,Ga0160458
638,Ga0455872
639,Ga0244180
640,Ga0494717
641,Ga0119893
642,Ga0456086
643,Ga0070666
644,Ga0255072
645,Ga0111424
646,Ga0495430
647,Ga0377217
648,Ga0486830
649,Ga0456313
650,Ga0157297
651,Ga0118093
652,Ga0373952
653,Ga0209661
654,Ga0428203
655,Ga0126335
656,Ga0116655
657,Ga0428156
658,Ga0136554
659,Ga0070750
660,Ga0135322
661,Ga0376490
662,Ga0485508
663,Ga0116156
664,Ga0117818
665,Ga0105352
666,Ga0118269
667,Ga0494667
668,Ga0100062
669,Ga0485317
670,Ga0208588
671,Ga0207773
672,Ga0207417
673,Ga0485304
674,Ga0004658
675,Ga0451346
676,Ga0007154
677,Ga0078891
678,Ga0116134
679,Ga0306879
680,Ga0436605
681,Ga0026087
682,Ga0209054
683,Ga0188176
684,Ga0123339
685,Ga0395750
686,Ga0506674
687,Ga0504707
688,Ga0113885
689,Ga0099550
690,Ga0209798
691,Ga0120783
692,Ga0118386
693,Ga0172369
694,Ga0115569
695,Ga0116241
696,Ga0495581
697,Ga0209578
698,Ga0255107
699,Ga0497325
700,Ga0497299
701,Ga0207983
702,Ga0066449
703,Ga0401385
704,Ga0238628
705,Ga0334956
706,Ga0466306
707,Ga0485413
708,Ga0466298
709,Ga0003848
710,Ga0497518
711,Ga0494732
712,Ga0006116
713,Ga0247687
714,Ga0207438
715,Ga0121352
716,Ga0135214
717,Ga0104793
718,Ga0121070
719,Ga0451342
720,Ga0209184
721,Ga0455766
722,Ga0247700
723,Ga0183705
724,Ga0209333
725,Ga0209752
726,Ga0428096
727,Ga0373109
728,Ga0026785
729,Ga0243817
730,Ga0157293
731,Ga0395916
732,Ga0494395
733,Ga0247845
734,Ga0428267
735,Ga0118346
736,Ga0111456
737,Ga0004671
738,Ga0497393
739,Ga0101094
740,Ga0335010
741,Ga0121197
742,Ga0494511
743,Ga0335021
744,Ga0495566
745,Ga0208192
746,Ga0114855
747,Ga0208968
748,Ga0194044
749,Ga0210382
750,Ga0454602
751,Ga0005062
752,Ga0307478
753,Ga0102826
754,Ga0256809
755,Ga0394854
756,Ga0131712
757,Ga0243762
758,Ga0157300
759,Ga0299907
760,Ga0435353
761,Ga0168598
762,Ga0439454
763,Ga0070735
764,Ga0485234
765,Ga0118286
766,Ga0247739
767,Ga0455796
768,Ga0500101
769,Ga0121330
770,Ga0026537
771,Ga0450684
772,Ga0256844
773,Ga0428288
774,Ga0496056
775,Ga0208358
776,Ga0302062
777,Ga0224703
778,Ga0494134
779,Ga0497117
780,Ga0498763
781,Ga0224509
782,Ga0456297
783,Ga0247725
784,Ga0394863
785,Ga0182019
786,Ga0497566
787,Ga0135440
788,Ga0122115
789,Ga0180060
790,Ga0482238
